block_number,latency_ms,peak_bin,peak_magnitude
704,0.115831,20,4102.74
705,0.099873,20,4097.75
706,0.100881,20,4091.25
707,0.097312,20,4104.77
708,0.126839,20,4103.13
709,0.10018,20,4101.93
710,0.102439,20,4098.02
711,0.1551,20,4092.47
712,0.10025,20,4094.93
713,0.099533,20,4107.6
714,0.104042,20,4117.83
715,0.102312,20,4097.4
716,0.10115,20,4104.04
717,0.09964,20,4089.57
718,0.099265,20,4081
719,0.178623,20,4113.47
720,0.107631,20,4116.62
721,0.10184,20,4119.99
722,0.096621,20,4098.85
723,0.101995,20,4089.53
724,0.100969,20,4095.04
725,0.116933,20,4098.46
726,0.105409,20,4099.74
727,0.102605,20,4100.78
728,0.100502,20,4104.51
729,0.10782,20,4094.63
730,0.099719,20,4088.71
731,0.092771,20,4093.07
732,0.103,20,4105.8
733,0.133399,20,4061.98
734,0.097731,20,4094.02
735,0.101467,20,4105.04
736,0.106153,20,4108.9
737,0.104938,20,4098.63
738,0.121083,20,4093.3
739,0.104704,20,4098.06
740,0.100351,20,4085.12
741,0.120541,20,4111.83
742,0.097839,20,4102.03
743,0.099293,20,4099.16
744,0.106933,20,4095.68
745,0.153824,20,4089.9
746,0.101173,20,4077.95
747,0.102815,20,4086.04
748,0.096825,20,4081.11
749,0.10185,20,4094.64
750,0.103993,20,4099.2
751,0.123661,20,4113.36
752,0.094613,20,4097.59
753,0.102776,20,4087.89
754,0.100694,20,4090.25
755,0.100208,20,4077.94
756,0.10489,20,4104.28
757,0.139092,20,4096.78
758,0.09787,20,4090.99
759,0.09864,20,4094.76
760,0.118297,20,4094.29
761,0.090871,20,4090.07
762,0.099114,20,4096.67
763,0.107932,20,4088.75
764,0.09768,20,4094.72
765,0.103546,20,4086.86
766,0.154892,20,4103.97
767,0.108551,20,4091.45
768,0.098634,20,4097.65
769,0.155854,20,4094.5
770,0.11513,20,4084.1
771,0.099654,20,4104.16
772,0.09954,20,4099.5
773,0.116812,20,4096.46
774,0.103456,20,4084.69
775,0.100284,20,4084.87
776,0.099358,20,4102.46
777,0.113619,20,4098.87
778,0.102449,20,4097.15
779,0.090142,20,4076.15
780,0.106792,20,4100.59
781,0.098271,20,4100.83
782,0.126346,20,4090.21
783,0.097988,20,4075.26
784,0.148896,20,4106.78
785,0.099328,20,4118.55
786,0.096801,20,4100.46
787,0.091848,20,4094.15
788,0.09538,20,4068.05
789,0.098998,20,4114.91
790,0.104199,20,4093.48
791,0.110543,20,4123.31
792,0.099983,20,4076.63
793,0.094777,20,4108.72
794,0.100872,20,4085.15
795,0.102766,20,4093.21
796,0.136547,20,4106.34
797,0.102267,20,4099.35
798,0.201595,20,4080.19
