freq_over_symbol_rate,alpha_0.0_db,alpha_0.2_db,alpha_0.35_db,alpha_0.5_db,alpha_1.0_db
0.63671875,-29.679919407366885,-18.244937625429,-13.13988790558703,-9.665660278512892,-5.249287228601952
0.640625,-31.75636454013206,-18.934583672006134,-13.563820725674647,-9.948614115236657,-5.332341391174714
0.64453125,-34.36330195344997,-19.66491027413188,-14.002651576476579,-10.238824196369023,-5.416818689926623
0.6484375,-37.91319044694012,-20.441361739945524,-14.457340389154677,-10.536538371077333,-5.502755548553085
0.65234375,-43.64262110635025,-21.27065040234568,-14.928960095166834,-10.842020814199742,-5.590189051990189
0.65625,-62.95622192560711,-22.161186942429147,-15.41871559769737,-11.155553619687256,-5.6791569506894675
0.66015625,-46.241812639755075,-23.123710560319537,-15.927966922322774,-11.477438594429168,-5.769697665797681
0.6640625,-39.841744744898186,-24.172241900891333,-16.45825770500706,-11.80799928377857,-5.861850295311778
0.66796875,-36.352452296293656,-25.325580008326916,-17.011350568318143,-12.147583265974491,-5.955654621280945
0.671875,-33.987881414420876,-26.609764674326982,-17.589271489623354,-12.496564759835787,-6.051151118129843
0.67578125,-32.226867749798416,-28.062363516781215,-18.194366055302197,-12.855347598909932,-6.14838096217936
0.6796875,-30.844349255378283,-29.740493578008817,-18.82937164394439,-13.224368636126831,-6.247386042443742
0.68359375,-29.72243969176112,-31.737321989955795,-19.497511283265275,-13.604101656491439,-6.348208972785848
0.6875,-28.79164373231791,-34.22076240273905,-20.20261749859495,-13.995061892180027,-6.4508931055154415
0.69140625,-28.007558598507142,-37.5439005588824,-20.949298451754874,-14.397811255549772,-6.55548254651888
0.6953125,-27.340104456516695,-42.687371953792535,-21.743164988513968,-14.812964432314184,-6.662022172012657
0.69921875,-26.76797852328462,-55.57229846634985,-22.591147539236264,-15.241196011203677,-6.770557647017489
0.703125,-26.27555971872556,-48.5097977784275,-23.50194925717699,-15.683248870158387,-6.881135445654563
0.70703125,-25.851069523935358,-40.994140790230134,-24.486712368604742,-16.13994409568562,-6.993802873371089
0.7109375,-25.485423102872574,-37.18423777571368,-25.5600307747328,-16.612192785874,-7.108608091208182
