trace_id,sample_index,amplitude
26,9,-0.3917106528058849
26,10,-0.35334595618167686
26,11,-0.3236302262151881
26,12,-0.328128934965942
26,13,-0.341837515330087
26,14,-0.3377073179747113
26,15,-0.33551984730278983
27,0,-0.43061246442089646
27,1,-0.3917106528058849
27,2,-0.35334595618167686
27,3,-0.3236302262151881
27,4,-0.328128934965942
27,5,-0.341837515330087
27,6,-0.3377073179747113
27,7,-0.33551984730278983
27,8,-0.33484760789571316
27,9,-0.33551984730278983
27,10,-0.3377073179747113
27,11,-0.341837515330087
27,12,-0.3685984196547029
27,13,-0.341837515330087
27,14,-0.3377073179747113
27,15,-0.33551984730278983
28,0,-0.33484760789571316
28,1,-0.33551984730278983
28,2,-0.3377073179747113
28,3,-0.341837515330087
28,4,-0.3685984196547029
28,5,-0.341837515330087
28,6,-0.3377073179747113
28,7,-0.33551984730278983
28,8,-0.33484760789571316
28,9,-0.33551984730278983
28,10,-0.3377073179747113
28,11,-0.341837515330087
28,12,-0.32812893496594203
28,13,-0.3236302262151881
28,14,-0.35334595618167686
28,15,-0.3917106528058849
29,0,-0.33484760789571316
29,1,-0.33551984730278983
29,2,-0.3377073179747113
29,3,-0.341837515330087
29,4,-0.32812893496594203
29,5,-0.3236302262151881
29,6,-0.35334595618167686
29,7,-0.3917106528058849
29,8,-0.43061246442089646
29,9,-0.4603780508756521
29,10,-0.4713553510758829
29,11,-0.4555990340714814
29,12,-0.3881326650331138
29,13,-0.295339518787073
29,14,-0.2067760531342366
29,15,-0.10648838387630419
30,0,-0.43061246442089646
30,1,-0.4603780508756521
30,2,-0.4713553510758829
30,3,-0.4555990340714814
30,4,-0.3881326650331138
30,5,-0.295339518787073
30,6,-0.2067760531342366
30,7,-0.10648838387630419
30,8,6.938893903907228e-18
30,9,0.10648838387630417
30,10,0.20677605313423664
30,11,0.295339518787073
30,12,0.3476631803443529
30,13,0.4373917449565825
30,14,0.4869939892828484
30,15,0.5165688563787472
31,0,6.938893903907228e-18
31,1,0.10648838387630417
31,2,0.20677605313423664
31,3,0.295339518787073
31,4,0.3476631803443529
31,5,0.4373917449565825
31,6,0.4869939892828484
31,7,0.5165688563787472
31,8,0.5263773209460798
31,9,0.5165688563787472
31,10,0.4869939892828484
31,11,0.4373917449565825
31,12,0.3881326650331137
31,13,0.31354680790197187
31,14,0.19113741492727107
31,15,0.05029757837320917
32,0,0.5263773209460798
32,1,0.5165688563787472
32,2,0.4869939892828484
32,3,0.4373917449565825
32,4,0.3881326650331137
32,5,0.31354680790197187
32,6,0.19113741492727107
32,7,0.05029757837320917
32,8,-0.09576485652518335
32,9,-0.23134658744916647
32,10,-0.3404240862354082
32,11,-0.4091010375284674
32,12,-0.40766691041152464
32,13,-0.4091010375284674
32,14,-0.3404240862354082
32,15,-0.23134658744916645
33,0,-0.09576485652518335
33,1,-0.23134658744916647
33,2,-0.3404240862354082
33,3,-0.4091010375284674
33,4,-0.40766691041152464
33,5,-0.4091010375284674
33,6,-0.3404240862354082
33,7,-0.23134658744916645
33,8,-0.09576485652518335
33,9,0.050297578373209154
33,10,0.1911374149272711
33,11,0.31354680790197187
33,12,0.4286021497218747
33,13,0.4555990340714814
33,14,0.4713553510758829
33,15,0.4603780508756521
34,0,-0.09576485652518335
34,1,0.050297578373209154
34,2,0.1911374149272711
34,3,0.31354680790197187
34,4,0.4286021497218747
34,5,0.4555990340714814
34,6,0.4713553510758829
34,7,0.4603780508756521
34,8,0.43061246442089646
34,9,0.3917106528058849
34,10,0.35334595618167686
34,11,0.3236302262151881
34,12,0.328128934965942
34,13,0.341837515330087
34,14,0.3377073179747113
34,15,0.33551984730278983
35,0,0.43061246442089646
35,1,0.3917106528058849
35,2,0.35334595618167686
35,3,0.3236302262151881
35,4,0.328128934965942
35,5,0.341837515330087
35,6,0.3377073179747113
35,7,0.33551984730278983
35,8,0.33484760789571316
35,9,0.33551984730278983
35,10,0.3377073179747113
35,11,0.341837515330087
35,12,0.32812893496594203
35,13,0.3236302262151881
35,14,0.35334595618167686
35,15,0.3917106528058849
36,0,0.33484760789571316
36,1,0.33551984730278983
36,2,0.3377073179747113
36,3,0.341837515330087
36,4,0.32812893496594203
36,5,0.3236302262151881
36,6,0.35334595618167686
36,7,0.3917106528058849
36,8,0.43061246442089646
36,9,0.4603780508756521
36,10,0.4713553510758829
36,11,0.4555990340714814
36,12,0.42860214972187466
36,13,0.31354680790197187
36,14,0.19113741492727107
36,15,0.05029757837320917
37,0,0.43061246442089646
37,1,0.4603780508756521
37,2,0.4713553510758829
37,3,0.4555990340714814
37,4,0.42860214972187466
37,5,0.31354680790197187
37,6,0.19113741492727107
37,7,0.05029757837320917
37,8,-0.09576485652518335
37,9,-0.23134658744916647
37,10,-0.3404240862354082
37,11,-0.4091010375284674
37,12,-0.4481363951002855
37,13,-0.42730832664336627
37,14,-0.32478544802844267
37,15,-0.17515578194607143
38,0,-0.09576485652518335
38,1,-0.23134658744916647
38,2,-0.3404240862354082
38,3,-0.4091010375284674
38,4,-0.4481363951002855
38,5,-0.42730832664336627
38,6,-0.32478544802844267
38,7,-0.17515578194607143
38,8,-6.938893903907228e-18
38,9,0.17515578194607145
38,10,0.32478544802844267
38,11,0.42730832664336627
38,12,0.4481363951002856
38,13,0.4091010375284674
38,14,0.3404240862354082
38,15,0.23134658744916645
39,0,-6.938893903907228e-18
39,1,0.17515578194607145
39,2,0.32478544802844267
39,3,0.42730832664336627
